Time,Latitude,Longitude,Heading,WindSpeed,WindDirection,RudderAngle,SailAngle
19:45:57,0.000000,0.000000,255.50,0.00,330,64,45
19:45:59,0.000000,0.000000,306.40,0.00,330,64,45
19:46:00,0.000000,0.000000,199.40,0.00,330,64,45
19:46:01,0.000000,0.000000,64.30,0.00,330,64,45
19:46:03,0.000000,0.000000,79.90,0.00,330,64,45
19:46:04,0.000000,0.000000,86.00,0.00,330,64,45
19:46:05,0.000000,0.000000,88.80,0.00,330,64,45
19:46:06,0.000000,0.000000,90.10,0.00,330,64,45
19:46:08,0.000000,0.000000,90.20,0.00,330,64,45
19:46:09,0.000000,0.000000,90.20,0.00,330,64,45
19:46:10,0.000000,0.000000,90.20,0.00,330,64,45
19:46:11,0.000000,0.000000,90.20,0.00,330,64,45
19:46:13,0.000000,0.000000,90.20,0.00,330,64,45
19:46:14,0.000000,0.000000,90.20,0.00,330,64,45
19:46:15,0.000000,0.000000,90.20,0.00,330,64,45
19:46:16,0.000000,0.000000,90.20,0.00,330,64,45
19:46:18,0.000000,0.000000,90.20,0.00,330,64,45
19:46:19,0.000000,0.000000,90.20,0.00,330,64,45
19:46:20,0.000000,0.000000,90.20,0.00,330,64,45
19:46:21,0.000000,0.000000,90.20,0.00,330,64,45
19:46:23,0.000000,0.000000,90.20,0.00,330,64,45
19:46:23,0.000000,0.000000,90.20,0.00,330,64,45
19:46:25,0.000000,0.000000,90.20,0.00,330,64,45
19:46:26,0.000000,0.000000,90.20,0.00,330,64,45
19:46:28,0.000000,0.000000,90.20,0.00,330,64,45
19:46:29,0.000000,0.000000,90.20,0.00,330,64,45
19:46:30,0.000000,0.000000,90.30,0.00,330,64,45
19:46:31,0.000000,0.000000,90.30,0.00,330,64,45
19:46:33,0.000000,0.000000,90.30,0.00,330,64,45
19:46:35,0.000000,0.000000,90.30,0.00,330,64,45
